# Logfile created on 2015-04-10 21:04:01 -0700 by logger.rb/31641
1428725042	586741471807676416	ja	JP	34.9671	135.7727	きつねかわいい！！！(9809回目)
1428725047	586741492779130880	en	US	36.0945	-119.5617	Let's see how it goes 😈
1428725048	586741496939819009	en	US	39.2675	-83.3379	@KarleeD you're so welcome 😋 and miss you too!
1428725050	586741505345196032	en	US	34.1558	-85.1160	I need a bae
1428725051	586741509552148482	en	US	32.5304	-92.0394	People asking me what it is that got me wearing all black.
1428725052	586741513717096449	en	MY	2.9340	101.7526	How i wish i have a chance to go Kedah hmmm
1428725053	586741517911400448	es	AR	-34.4719	-58.7650	10 cosas que odio de ti♡😍
1428725054	586741522122612737	en	US	35.0125	-78.8219	Happy bday to my nigga ace boogie @ihoop_XD
1428725056	586741530507026432	tr	TR	37.9263	40.1972	Ne verdinki ne alasın dünyaa... http://t.co/1qFQzGI4qR
1428725057	586741534718046208	es	CL	-33.4947	-70.7783	@colomba_blue jaja usted divulgó los atributos y le afiló dientes a las hienas.
1428725058	586741538883002370	es	AR	-30.9491	-59.7771	Siempre hago mal las cosas!! Ayyyyy Daianaaaaa lpm
1428725058	586741538895593472	pt	BR	-22.9716	-42.0288	Esse mulher bêbada da minha rua 😂
1428725058	586741538887045121	pt	BR	-29.9060	-51.0833	Pouca vontade de matar a decarli
1428725060	586741547288281091	es	MX	29.0363	-110.9667	No se que tengo que me gusta la escuela😊👌
1428725061	586741551499358208	pt	BR	-23.4606	-46.5513	Amanda se isso foi pra mim só digo uma coisa : Esqueci o que ia dizer
1428725061	586741551478390785	en	ID	3.5870	98.6804	At Gahara Clothing Store — https://t.co/5nsTwL1CzK
1428725107	586741744441679872	ja	JP	35.6844	138.4845	ラザウォーク http://t.co/9ovaDPzKuU
1428725109	586741752796614657	es	PA	9.0475	-79.4453	Final @SanFraFC 1-1 @CAIPanama para los monjes, siguen fuera del paquete y CAI empata a los chiricanos por el no descenso #LaLigaDeTodos
1428725112	586741765404667904	pt	BR	-22.8855	-43.2862	Geral esqueceu de mim 👌👍
1428725113	586741769599062016	en	US	39.3709	-76.4646	@ScotWilliams7 @DoNotForget911 legacy of scandals, and shameful behavior from the adminstration who promised T R A N S P A R E N C Y. . .
1428725114	586741773776596993	ja	JP	35.0381	135.7845	I'm at 茶山駅（Chayama Sta.） - @eizandensha in 京都市, 京都府 https://t.co/zecBIQbIqc
1428725115	586741777958182912	en	US	33.8035	-117.9107	Never mind hour and a half wait 😴
1428725117	586741786380345345	en	ES	37.9745	-1.0692	Mobster wakes of notwithstanding.#EnglishInMurcia
1428725117	586741786372091904	es	AR	-34.7627	-58.4187	Estoy re tildado, corte "tiiiiiiiiiiiiiiiiiiii"
